x_m,y_m,pressure_Pa,wall_shear_Pa,x_wall_shear_Pa,y_wall_shear_Pa,cp_manual,side
0.001500000013038516,-0.35532233119010925,-433.2685241699219,0.027533067390322685,0.0,-0.027533067390322685,-0.7576535770945775,back_downstream
0.001500000013038516,-0.35682159662246704,-433.27337646484375,0.027653109282255173,0.0,-0.027653109282255173,-0.7576620622680891,back_downstream
0.001500000013038516,-0.35832083225250244,-433.27825927734375,0.027773236855864525,0.0,-0.027773236855864525,-0.7576706008074717,back_downstream
0.001500000013038516,-0.35982009768486023,-433.28314208984375,0.027893397957086563,0.0,-0.027893397957086563,-0.7576791393468545,back_downstream
0.001500000013038516,-0.36131933331489563,-433.2880554199219,0.02801360934972763,0.0,-0.02801360934972763,-0.7576877312521083,back_downstream
0.001500000013038516,-0.3628185987472534,-433.29296875,0.028133897110819817,0.0,-0.028133897110819817,-0.7576963231573621,back_downstream
0.001500000013038516,-0.3643178343772888,-433.2979431152344,0.028254227712750435,0.0,-0.028254227712750435,-0.7577050217943583,back_downstream
0.001500000013038516,-0.3658170998096466,-433.30291748046875,0.02837458811700344,0.0,-0.02837458811700344,-0.7577137204313544,back_downstream
0.001500000013038516,-0.367316335439682,-433.30792236328125,0.02849501371383667,0.0,-0.02849501371383667,-0.7577224724342216,back_downstream
0.001500000013038516,-0.3688156008720398,-433.31292724609375,0.028615524992346764,0.0,-0.028615524992346764,-0.757731224437089,back_downstream
0.001500000013038516,-0.3703148365020752,-433.3179626464844,0.02873610332608223,0.0,-0.02873610332608223,-0.7577400298058273,back_downstream
0.001500000013038516,-0.371814101934433,-433.3230285644531,0.02885674126446247,0.0,-0.02885674126446247,-0.7577488885404369,back_downstream
0.001500000013038516,-0.3733133375644684,-433.328125,0.028977442532777786,0.0,-0.028977442532777786,-0.7577578006409176,back_downstream
0.001500000013038516,-0.37481260299682617,-433.333251953125,0.029098205268383026,0.0,-0.029098205268383026,-0.7577667661072693,back_downstream
0.001500000013038516,-0.3763118386268616,-433.33837890625,0.029219025745987892,0.0,-0.029219025745987892,-0.7577757315736212,back_downstream
0.001500000013038516,-0.37781110405921936,-433.3435363769531,0.02933988906443119,0.0,-0.02933988906443119,-0.7577847504058441,back_downstream
0.001500000013038516,-0.37931033968925476,-433.3487243652344,0.029460793361067772,0.0,-0.029460793361067772,-0.7577938226039383,back_downstream
0.001500000013038516,-0.38080960512161255,-433.3539123535156,0.029581770300865173,0.0,-0.029581770300865173,-0.7578028948020324,back_downstream
0.001500000013038516,-0.38230884075164795,-433.359130859375,0.029702842235565186,0.0,-0.029702842235565186,-0.7578120203659977,back_downstream
0.001500000013038516,-0.38380810618400574,-433.3643798828125,0.029823990538716316,0.0,-0.029823990538716316,-0.757821199295834,back_downstream
0.001500000013038516,-0.38530734181404114,-433.3696594238281,0.029945209622383118,0.0,-0.029945209622383118,-0.7578304315915416,back_downstream
0.001500000013038516,-0.3868066072463989,-433.37493896484375,0.030066493898630142,0.0,-0.030066493898630142,-0.7578396638872491,back_downstream
0.001500000013038516,-0.3883058428764343,-433.3802795410156,0.03018784336745739,0.0,-0.03018784336745739,-0.7578490029146989,back_downstream
0.001500000013038516,-0.3898051083087921,-433.3856201171875,0.03030925989151001,0.0,-0.03030925989151001,-0.7578583419421487,back_downstream
0.001500000013038516,-0.3913043439388275,-433.3909606933594,0.03043074533343315,0.0,-0.03043074533343315,-0.7578676809695987,back_downstream
0.001500000013038516,-0.3928036093711853,-433.3963623046875,0.030552303418517113,0.0,-0.030552303418517113,-0.7578771267287907,back_downstream
0.001500000013038516,-0.3943028450012207,-433.4017639160156,0.03067392110824585,0.0,-0.03067392110824585,-0.7578865724879829,back_downstream
